НА:2026-09-11T23:59:59
"контрагент","1.1.Себестоимость продуктовая","1.9.Ремонт/Обслуживание производ.оборудования","2.4.Маркетинг","2.5.1.Расходы по реализации Прочие","2.5.6.Акция ФЗ","2Себестоимость (прочее)","3.3.1.Админ.расходы ПРОЧИЕ","3050 ВФП","4-Подотчет","5-Дебит.задолж.","7- Основные средства","99Главная касса","Авансы выданные","В/групповая реализация товаров и услуг","Выручка","Денежные средства","Доход от возмещение расходов на содержание гост.туалетов","Доходы прочие (аренда,ЧЛ и проч.)","Задолженность перед поставщиками","Зарплата","Касса Взаиморасчеты","Крафт Расходы","Кристал Каспии","Начисл БонусыП","Расчеты с гостями","Текущие расчеты с сотрудниками","Торговая выручка","Торговые кассы","ФЗ Жусан Банк","ФЗ Каспи","Цой Д.Л.Каспи","итого"
"18680124",0,0,0,0,0,0,0,0,0,0,0,-692044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-692044
"187",0,0,0,0,0,0,0,0,0,0,0,-1542089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-140731,0,-1682820
"188",0,0,0,0,0,0,0,0,0,0,0,-126218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-227984,0,-354202
"19",0,0,0,0,0,0,0,0,0,0,0,-5295727,0,0,0,0,0,0,0,2841608,0,0,0,0,0,0,0,0,0,-327310,0,-2781429
"191",0,0,0,0,0,0,0,0,0,0,0,-1364000,0,0,0,0,0,0,0,0,0,0,0,0,0,-140280,0,0,0,-350856,0,-1855136
"19902681",0,0,0,0,0,0,0,0,0,0,0,-103074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103074
"2",50886418,0,0,0,0,54638217,0,0,0,2432530,0,-109354996,0,0,0,0,0,0,544075,175927006,0,0,0,0,0,-9546234,0,0,0,-21450455,0,144076561
"20",0,0,0,0,0,0,0,0,0,0,0,-14122343,0,0,0,0,0,0,0,18861125,0,0,0,0,0,-397123,0,0,0,-705411,0,3636248
"204385",0,0,0,0,0,0,0,0,0,0,0,-2462348,0,0,0,0,0,0,0,369750,0,0,0,0,0,0,0,0,0,-780621,0,-2873219
"21",0,0,0,0,0,0,0,0,0,0,0,-272659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20000,0,-292659
"212",0,0,0,0,0,0,0,0,0,0,0,-288274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-288274
"22",0,0,0,0,0,0,0,0,0,0,0,-505342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-307109,0,-812451
"22370",0,0,0,0,0,0,0,0,0,0,0,-265903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-265903
"22628",0,0,0,0,0,0,0,0,0,0,0,-7635156,0,0,0,0,0,0,0,3750,0,0,0,0,0,-54914,0,0,0,0,0,-7686320
"229",0,0,0,0,0,0,0,0,0,0,0,-1051388,0,0,0,0,0,0,0,393000,0,0,0,0,0,0,0,0,0,0,0,-658388
"23",0,0,0,0,0,0,0,0,0,0,0,-1024595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-325689,0,-1350284
"234",0,0,0,0,0,0,0,0,0,0,0,-164917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107453,0,-272370
